2116;A;23/07/2007;48.0
2116;A;20/09/2007;53.0
2116;A;21/02/2008;59.5
2116;A;27/10/2008;65.0
2116;A;12/10/2009;68.0
2117;A;12/09/2002;43.0
2117;A;01/08/2003;43.0
2117;A;01/12/2004;45.0
2117;A;10/08/2005;45.0
2117;A;18/10/2006;47.0
2117;A;23/07/2007;48.0
2117;A;20/09/2007;53.0
2117;A;21/02/2008;59.5
2117;A;27/10/2008;65.0
2117;A;26/10/2009;68.0
2118;A;12/09/2002;43.0
2118;A;01/08/2003;43.0
2118;A;01/12/2004;45.0
2118;A;10/08/2005;45.0
2118;A;18/10/2006;47.0
2118;A;23/07/2007;48.0
2118;A;20/09/2007;53.0
2118;A;21/02/2008;59.5
2118;A;27/10/2008;65.0
2118;A;12/10/2009;68.0
2119;A;12/09/2002;43.0
2119;A;01/08/2003;43.0
2119;A;01/12/2004;45.0
2119;A;10/08/2005;45.0
2119;A;18/10/2006;47.0
2119;A;23/07/2007;48.0
2119;A;20/09/2007;53.0
2119;A;21/02/2008;59.5
2119;A;27/10/2008;65.0
2119;A;12/10/2009;68.0
2120;A;12/09/2002;43.0
2120;A;01/08/2003;43.0
2120;A;01/12/2004;45.0
2120;A;10/08/2005;45.0
2120;A;18/10/2006;47.0
2120;A;23/07/2007;48.0
2120;A;20/09/2007;53.0
2120;A;21/02/2008;59.5
2120;A;27/10/2008;65.0
2120;A;12/10/2009;68.0
2121;A;12/09/2002;43.0
2121;A;01/08/2003;43.0
2121;A;01/12/2004;45.0
2121;A;10/08/2005;45.0
2121;A;18/10/2006;47.0
2121;A;20/10/2007;53.0
2121;A;16/01/2011;68.0
2122;A;12/09/2002;43.0
2122;A;01/08/2003;43.0
2122;A;01/12/2004;45.0
2122;A;10/08/2005;45.0
2122;A;18/10/2006;47.0
2122;A;20/10/2007;53.0
2122;A;16/01/2011;68.0
2123;A;12/09/2002;43.0
2123;A;01/08/2003;43.0
2123;A;01/12/2004;45.0
2123;A;10/08/2005;45.0
2123;A;18/10/2006;47.0
2123;A;23/07/2007;48.0
2123;A;20/09/2007;53.0
2123;A;21/02/2008;59.5
2123;A;27/10/2008;65.0
2123;A;12/10/2009;68.0
2124;A;12/09/2002;43.0
2124;A;01/08/2003;43.0
2124;A;01/12/2004;45.0
2124;A;10/08/2005;45.0
2125;A;12/09/2002;43.0
2125;A;01/08/2003;43.0
2125;A;01/12/2004;45.0
2125;A;10/08/2005;45.0
2125;A;18/10/2006;47.0
2125;A;23/07/2007;48.0
2125;A;20/09/2007;53.0
2125;A;21/02/2008;59.5
2125;A;27/10/2008;65.0
2125;A;12/10/2009;68.0
2126;A;12/09/2002;43.0
2126;A;01/08/2003;43.0
2126;A;01/12/2004;45.0
2126;A;10/08/2005;45.0
2126;A;18/10/2006;47.0
2126;A;23/07/2007;48.0
2126;A;20/09/2007;53.0
2126;A;21/02/2008;59.5
2126;A;27/10/2008;65.0
2126;A;16/01/2011;68.0
2127;A;12/09/2002;43.0
2127;A;01/08/2003;43.0
2127;A;01/12/2004;45.0
2127;A;10/08/2005;45.0
2127;A;18/10/2006;47.0
2127;A;23/07/2007;48.0
2127;A;20/09/2007;53.0
2127;A;21/02/2008;59.5
2127;A;27/10/2008;65.0
2127;A;12/10/2009;68.0
2128;A;12/09/2002;43.0
2128;A;01/08/2003;43.0
2128;A;01/12/2004;45.0
2128;A;10/08/2005;45.0
2128;A;18/10/2006;47.0
2128;A;23/07/2007;48.0
2128;A;20/09/2007;53.0
2128;A;21/02/2008;59.5
2128;A;27/10/2008;65.0
2128;A;12/10/2009;68.0
2129;A;01/12/2004;45.0
2129;A;10/08/2005;45.0
2130;A;01/08/2003;43.0
2130;A;01/12/2004;45.0
2130;A;10/08/2005;45.0
2130;A;18/10/2006;47.0
2130;A;23/07/2007;48.0
2130;A;20/09/2007;53.0
2130;A;21/02/2008;59.5
2130;A;27/10/2008;65.0
2130;A;12/10/2009;68.0
2131;A;01/10/2002;43.0
2131;A;01/08/2003;43.0
2131;A;01/12/2004;45.0
2131;A;10/08/2005;45.0
2131;A;18/10/2006;47.0
2131;A;20/10/2007;53.0
2131;A;16/01/2011;68.0
2132;A;12/09/2002;43.0
2132;A;01/08/2003;43.0
2132;A;01/12/2004;45.0
2132;A;10/08/2005;45.0
2132;A;18/10/2006;47.0
2132;A;23/07/2007;48.0
2132;A;20/09/2007;53.0
2132;A;21/02/2008;59.5
2132;A;27/10/2008;65.0
